0.0     <= x <    60.0; y_0     =   85.0 + -0.625000x  +       0.000000x^2  +  0.000035x^3; Cubic Spline
6840.0  <= x <  6900.0; y_228   =   91.0 + -0.450000x  +       0.000000x^2  +  0.000014x^3; Cubic Spline
6870.0  <= x <  6930.0; y_229   =   79.0 +  0.125000x  +      -0.000000x^2  +  0.000021x^3; Cubic Spline
6900.0  <= x <  6960.0; y_230   =   85.0 + -0.508333x  +       0.000000x^2  +  0.000002x^3; Cubic Spline
6930.0  <= x <  6990.0; y_231   =   70.0 +  0.616667x  +      -0.000000x^2  + -0.000042x^3; Cubic Spline
6960.0  <= x <  7020.0; y_232   =   84.0 +  0.025000x  +      -0.000000x^2  +  0.000030x^3; Cubic Spline
6990.0  <= x <  7050.0; y_233   =   88.0 + -0.575000x  +       0.000000x^2  +  0.000002x^3; Cubic Spline
7020.0  <= x <  7080.0; y_234   =   71.0 +  0.666667x  +       0.000000x^2  + -0.000037x^3; Cubic Spline
7050.0  <= x <  7110.0; y_235   =   87.0 +  0.033333x  +       0.000000x^2  + -0.000009x^3; Cubic Spline
7080.0  <= x <  7140.0; y_236   =   87.0 +  0.158333x  +      -0.000000x^2  + -0.000007x^3; Cubic Spline
7110.0  <= x <  7170.0; y_237   =   91.0 + -0.050000x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
7140.0  <= x <  7200.0; y_238   =   90.0 + -0.033333x  +       0.000000x^2  + -0.000000x^3; Cubic Spline
7170.0  <= x <  7230.0; y_239   =   89.0 +  0.033333x  +      -0.000000x^2  +  0.000000x^3; Cubic Spline
7200.0  <= x <  7260.0; y_240   =   90.0 + -0.191667x  +       0.000000x^2  +  0.000044x^3; Cubic Spline
7230.0  <= x <  7290.0; y_241   =   89.0 + -0.758333x  +      -0.000000x^2  +  0.000044x^3; Cubic Spline
7260.0  <= x <  7320.0; y_242   =   71.0 +  0.091667x  +       0.000000x^2  + -0.000035x^3; Cubic Spline
7290.0  <= x <  7350.0; y_243   =   70.0 +  0.691667x  +      -0.000000x^2  + -0.000044x^3; Cubic Spline
7320.0  <= x <  7380.0; y_244   =   86.0 + -0.033333x  +      -0.000000x^2  +  0.000037x^3; Cubic Spline
7350.0  <= x <  7410.0; y_245   =   89.0 + -0.625000x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
7380.0  <= x <  7440.0; y_246   =   70.0 +  0.666667x  +      -0.000000x^2  +  0.000000x^3; Cubic Spline
7410.0  <= x <  7470.0; y_247   =   90.0 + -0.691667x  +       0.000000x^2  +  0.000007x^3; Cubic Spline
7440.0  <= x <  7500.0; y_248   =   70.0 +  0.575000x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
7470.0  <= x <  7530.0; y_249   =   87.0 + -0.675000x  +       0.000000x^2  +  0.000039x^3; Cubic Spline
7500.0  <= x <  7560.0; y_250   =   71.0 + -0.041667x  +       0.000000x^2  +  0.000002x^3; Cubic Spline
7530.0  <= x <  7590.0; y_251   =   70.0 +  0.150000x  +       0.000000x^2  + -0.000042x^3; Cubic Spline
7560.0  <= x <  7620.0; y_252   =   70.0 +  0.783333x  +       0.000000x^2  + -0.000051x^3; Cubic Spline
7590.0  <= x <  7650.0; y_253   =   88.0 +  0.133333x  +      -0.000000x^2  +  0.000000x^3; Cubic Spline
7620.0  <= x <  7680.0; y_254   =   92.0 + -0.316667x  +      -0.000000x^2  +  0.000051x^3; Cubic Spline
7650.0  <= x <  7710.0; y_255   =   88.0 + -0.741667x  +       0.000000x^2  +  0.000039x^3; Cubic Spline
7680.0  <= x <  7740.0; y_256   =   70.0 +  0.200000x  +       0.000000x^2  + -0.000046x^3; Cubic Spline
7710.0  <= x <  7770.0; y_257   =   71.0 +  0.775000x  +      -0.000000x^2  + -0.000039x^3; Cubic Spline
7740.0  <= x <  7800.0; y_258   =   90.0 + -0.225000x  +      -0.000000x^2  +  0.000044x^3; Cubic Spline
7770.0  <= x <  7830.0; y_259   =   88.0 + -0.716667x  +       0.000000x^2  +  0.000042x^3; Cubic Spline
7800.0  <= x <  7860.0; y_260   =   71.0 +  0.116667x  +       0.000000x^2  + -0.000042x^3; Cubic Spline
7830.0  <= x <  7890.0; y_261   =   70.0 +  0.783333x  +       0.000000x^2  + -0.000042x^3; Cubic Spline
7860.0  <= x <  7920.0; y_262   =   89.0 + -0.025000x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
7890.0  <= x <  7950.0; y_263   =   88.0 +  0.058333x  +      -0.000000x^2  +  0.000002x^3; Cubic Spline
7920.0  <= x <  7980.0; y_264   =   90.0 + -0.091667x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
7950.0  <= x <  8010.0; y_265   =   87.0 +  0.075000x  +      -0.000000x^2  +  0.000016x^3; Cubic Spline
7980.0  <= x <  8040.0; y_266   =   91.0 + -0.541667x  +       0.000000x^2  +  0.000049x^3; Cubic Spline
8010.0  <= x <  8070.0; y_267   =   80.0 + -0.441667x  +       0.000000x^2  +  0.000030x^3; Cubic Spline
8040.0  <= x <  8100.0; y_268   =   70.0 +  0.075000x  +       0.000000x^2  + -0.000049x^3; Cubic Spline
8070.0  <= x <  8130.0; y_269   =   67.0 +  1.000000x  +      -0.000000x^2  + -0.000056x^3; Cubic Spline
8100.0  <= x <  8160.0; y_270   =   91.0 + -0.175000x  +      -0.000000x^2  +  0.000049x^3; Cubic Spline
8130.0  <= x <  8190.0; y_271   =   91.0 + -0.850000x  +      -0.000000x^2  +  0.000042x^3; Cubic Spline
8160.0  <= x <  8220.0; y_272   =   70.0 +  0.283333x  +      -0.000000x^2  + -0.000051x^3; Cubic Spline
8190.0  <= x <  8250.0; y_273   =   73.0 +  0.750000x  +      -0.000000x^2  + -0.000032x^3; Cubic Spline
8220.0  <= x <  8280.0; y_274   =   92.0 + -0.408333x  +      -0.000000x^2  +  0.000067x^3; Cubic Spline
8250.0  <= x <  8310.0; y_275   =   87.0 + -0.958333x  +       0.000000x^2  +  0.000044x^3; Cubic Spline
8280.0  <= x <  8340.0; y_276   =   63.0 +  0.408333x  +       0.000000x^2  + -0.000067x^3; Cubic Spline
8310.0  <= x <  8370.0; y_277   =   68.0 +  0.975000x  +      -0.000000x^2  + -0.000049x^3; Cubic Spline
8340.0  <= x <  8400.0; y_278   =   92.0 + -0.283333x  +       0.000000x^2  +  0.000051x^3; Cubic Spline
8370.0  <= x <  8430.0; y_279   =   89.0 + -0.800000x  +      -0.000000x^2  +  0.000046x^3; Cubic Spline
8400.0  <= x <  8460.0; y_280   =   70.0 +  0.166667x  +       0.000000x^2  + -0.000056x^3; Cubic Spline
8430.0  <= x <  8490.0; y_281   =   69.0 +  1.000000x  +       0.000000x^2  + -0.000046x^3; Cubic Spline
8460.0  <= x <  8520.0; y_282   =   94.0 + -0.358333x  +      -0.000000x^2  +  0.000053x^3; Cubic Spline
8490.0  <= x <  8550.0; y_283   =   89.0 + -0.733333x  +       0.000000x^2  +  0.000037x^3; Cubic Spline
8520.0  <= x <  8580.0; y_284   =   71.0 +  0.250000x  +      -0.000000x^2  + -0.000051x^3; Cubic Spline
8550.0  <= x <  8610.0; y_285   =   73.0 +  0.766667x  +      -0.000000x^2  + -0.000028x^3; Cubic Spline
8580.0  <= x <  8640.0; y_286   =   93.0 + -0.450000x  +       0.000000x^2  +  0.000051x^3; Cubic Spline
8610.0  <= x <  8670.0; y_287   =   85.0 + -0.583333x  +      -0.000000x^2  +  0.000032x^3; Cubic Spline
8640.0  <= x <  8700.0; y_288   =   71.0 + -0.008333x  +      -0.000000x^2  +  0.000002x^3; Cubic Spline
8670.0  <= x <  8730.0; y_289   =   71.0 + -0.016667x  +       0.000000x^2  + -0.000005x^3; Cubic Spline
8700.0  <= x <  8760.0; y_290   =   70.0 +  0.250000x  +       0.000000x^2  + -0.000042x^3; Cubic Spline
8730.0  <= x <  8790.0; y_291   =   73.0 +  0.575000x  +      -0.000000x^2  + -0.000021x^3; Cubic Spline
8760.0  <= x <  8820.0; y_292   =   88.0 + -0.191667x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
8790.0  <= x <  8850.0; y_293   =   82.0 +  0.275000x  +       0.000000x^2  + -0.000012x^3; Cubic Spline
8820.0  <= x <  8880.0; y_294   =   89.0 + -0.225000x  +      -0.000000x^2  +  0.000044x^3; Cubic Spline
8850.0  <= x <  8910.0; y_295   =   87.0 + -0.683333x  +       0.000000x^2  +  0.000032x^3; Cubic Spline
8880.0  <= x <  8940.0; y_296   =   70.0 +  0.266667x  +      -0.000000x^2  + -0.000046x^3; Cubic Spline
8910.0  <= x <  8970.0; y_297   =   73.0 +  0.641667x  +      -0.000000x^2  + -0.000021x^3; Cubic Spline
8940.0  <= x <  9000.0; y_298   =   90.0 + -0.250000x  +       0.000000x^2  + -0.000005x^3; Cubic Spline
8970.0  <= x <  9030.0; y_299   =   82.0 +  0.375000x  +      -0.000000x^2  + -0.000012x^3; Cubic Spline
9000.0  <= x <  9060.0; y_300   =   92.0 + -0.391667x  +      -0.000000x^2  +  0.000063x^3; Cubic Spline
9030.0  <= x <  9090.0; y_301   =   87.0 + -0.866667x  +      -0.000000x^2  +  0.000037x^3; Cubic Spline
9060.0  <= x <  9120.0; y_302   =   65.0 +  0.416667x  +      -0.000000x^2  + -0.000060x^3; Cubic Spline
9090.0  <= x <  9150.0; y_303   =   71.0 +  0.758333x  +      -0.000000x^2  + -0.000025x^3; Cubic Spline
9120.0  <= x <  9180.0; y_304   =   91.0 + -0.475000x  +      -0.000000x^2  +  0.000049x^3; Cubic Spline
9150.0  <= x <  9210.0; y_305   =   82.0 + -0.358333x  +       0.000000x^2  + -0.000012x^3; Cubic Spline
9180.0  <= x <  9240.0; y_306   =   70.0 +  0.516667x  +      -0.000000x^2  +  0.000014x^3; Cubic Spline
9210.0  <= x <  9270.0; y_307   =   87.0 + -0.800000x  +       0.000000x^2  +  0.000009x^3; Cubic Spline
9240.0  <= x <  9300.0; y_308   =   64.0 +  0.791667x  +       0.000000x^2  + -0.000044x^3; Cubic Spline
9270.0  <= x <  9330.0; y_309   =   83.0 +  0.025000x  +      -0.000000x^2  + -0.000007x^3; Cubic Spline
9300.0  <= x <  9360.0; y_310   =   83.0 +  0.108333x  +      -0.000000x^2  + -0.000002x^3; Cubic Spline
9330.0  <= x <  9390.0; y_311   =   86.0 + -0.083333x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
9360.0  <= x <  9420.0; y_312   =   84.0 + -0.125000x  +      -0.000000x^2  +  0.000035x^3; Cubic Spline
9390.0  <= x <  9450.0; y_313   =   84.0 + -0.466667x  +      -0.000000x^2  + -0.000009x^3; Cubic Spline
9420.0  <= x <  9480.0; y_314   =   69.0 +  0.741667x  +       0.000000x^2  + -0.000030x^3; Cubic Spline
9450.0  <= x <  9510.0; y_315   =   88.0 + -0.200000x  +       0.000000x^2  + -0.000000x^3; Cubic Spline
9480.0  <= x <  9540.0; y_316   =   82.0 +  0.183333x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
9510.0  <= x <  9570.0; y_317   =   88.0 + -0.300000x  +       0.000000x^2  +  0.000009x^3; Cubic Spline
9540.0  <= x <  9600.0; y_318   =   80.0 +  0.208333x  +       0.000000x^2  + -0.000021x^3; Cubic Spline
9570.0  <= x <  9630.0; y_319   =   84.0 +  0.125000x  +      -0.000000x^2  +  0.000012x^3; Cubic Spline
9600.0  <= x <  9660.0; y_320   =   89.0 + -0.325000x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
9630.0  <= x <  9690.0; y_321   =   79.0 +  0.433333x  +       0.000000x^2  + -0.000019x^3; Cubic Spline
9660.0  <= x <  9720.0; y_322   =   90.0 + -0.275000x  +      -0.000000x^2  +  0.000049x^3; Cubic Spline
9690.0  <= x <  9750.0; y_323   =   87.0 + -0.716667x  +      -0.000000x^2  +  0.000032x^3; Cubic Spline
9720.0  <= x <  9780.0; y_324   =   69.0 +  0.141667x  +      -0.000000x^2  + -0.000002x^3; Cubic Spline
9750.0  <= x <  9810.0; y_325   =   73.0 + -0.100000x  +       0.000000x^2  + -0.000000x^3; Cubic Spline
9780.0  <= x <  9840.0; y_326   =   70.0 +  0.258333x  +      -0.000000x^2  + -0.000044x^3; Cubic Spline
9810.0  <= x <  9870.0; y_327   =   73.0 +  0.533333x  +      -0.000000x^2  +  0.000000x^3; Cubic Spline
9840.0  <= x <  9900.0; y_328   =   89.0 + -0.691667x  +       0.000000x^2  +  0.000044x^3; Cubic Spline
9870.0  <= x <  9930.0; y_329   =   73.0 + -0.091667x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
9900.0  <= x <  9960.0; y_330   =   70.0 +  0.241667x  +       0.000000x^2  + -0.000030x^3; Cubic Spline
9930.0  <= x <  9990.0; y_331   =   74.0 +  0.275000x  +      -0.000000x^2  +  0.000007x^3; Cubic Spline
9960.0  <= x < 10020.0; y_332   =   83.0 + -0.366667x  +       0.000000x^2  + -0.000009x^3; Cubic Spline
9990.0  <= x < 10050.0; y_333   =   71.0 +  0.541667x  +      -0.000000x^2  + -0.000002x^3; Cubic Spline
10020.0 <= x < 10080.0; y_334   =   87.0 + -0.641667x  +       0.000000x^2  +  0.000039x^3; Cubic Spline
10050.0 <= x < 10110.0; y_335   =   72.0 + -0.000000x  +       0.000000x^2  + -0.000019x^3; Cubic Spline
10080.0 <= x < 10140.0; y_336   =   70.0 +  0.466667x  +      -0.000000x^2  + -0.000037x^3; Cubic Spline
10110.0 <= x < 10170.0; y_337   =   80.0 +  0.166667x  +      -0.000000x^2  +  0.000009x^3; Cubic Spline
10140.0 <= x < 10200.0; y_338   =   86.0 + -0.316667x  +       0.000000x^2  + -0.000005x^3; Cubic Spline
10170.0 <= x < 10230.0; y_339   =   76.0 +  0.433333x  +      -0.000000x^2  + -0.000009x^3; Cubic Spline
10200.0 <= x < 10260.0; y_340   =   88.0 + -0.250000x  +       0.000000x^2  + -0.000005x^3; Cubic Spline
10230.0 <= x < 10290.0; y_341   =   80.0 +  0.308333x  +      -0.000000x^2  +  0.000007x^3; Cubic Spline
10260.0 <= x < 10320.0; y_342   =   90.0 + -0.450000x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
10290.0 <= x < 10350.0; y_343   =   77.0 +  0.391667x  +       0.000000x^2  + -0.000007x^3; Cubic Spline
10320.0 <= x < 10380.0; y_344   =   88.0 + -0.416667x  +      -0.000000x^2  +  0.000042x^3; Cubic Spline
10350.0 <= x < 10410.0; y_345   =   80.0 + -0.425000x  +       0.000000x^2  +  0.000025x^3; Cubic Spline
10380.0 <= x < 10440.0; y_346   =   70.0 +  0.125000x  +       0.000000x^2  + -0.000044x^3; Cubic Spline
10410.0 <= x < 10470.0; y_347   =   69.0 +  0.666667x  +      -0.000000x^2  +  0.000000x^3; Cubic Spline
10440.0 <= x < 10500.0; y_348   =   89.0 + -0.850000x  +       0.000000x^2  +  0.000051x^3; Cubic Spline
10470.0 <= x < 10530.0; y_349   =   69.0 +  0.100000x  +       0.000000x^2  + -0.000046x^3; Cubic Spline
10500.0 <= x < 10560.0; y_350   =   67.0 +  0.758333x  +       0.000000x^2  + -0.000007x^3; Cubic Spline
10530.0 <= x < 10590.0; y_351   =   89.0 + -0.808333x  +       0.000000x^2  +  0.000049x^3; Cubic Spline
10560.0 <= x < 10620.0; y_352   =   70.0 + -0.075000x  +       0.000000x^2  +  0.000002x^3; Cubic Spline
10590.0 <= x < 10650.0; y_353   =   68.0 +  0.233333x  +       0.000000x^2  + -0.000056x^3; Cubic Spline
10620.0 <= x < 10680.0; y_354   =   69.0 +  0.883333x  +      -0.000000x^2  + -0.000032x^3; Cubic Spline
10650.0 <= x < 10710.0; y_355   =   92.0 + -0.366667x  +       0.000000x^2  +  0.000019x^3; Cubic Spline
10680.0 <= x < 10740.0; y_356   =   83.0 + -0.066667x  +      -0.000000x^2  +  0.000028x^3; Cubic Spline
10710.0 <= x < 10770.0; y_357   =   84.0 + -0.575000x  +       0.000000x^2  +  0.000039x^3; Cubic Spline
10740.0 <= x < 10800.0; y_358   =   71.0 +  0.016667x  +       0.000000x^2  + -0.000042x^3; Cubic Spline
10770.0 <= x < 10830.0; y_359   =   67.0 +  0.908333x  +       0.000000x^2  + -0.000049x^3; Cubic Spline
10800.0 <= x < 10860.0; y_360   =   89.0 + -0.191667x  +       0.000000x^2  +  0.000044x^3; Cubic Spline
10830.0 <= x < 10890.0; y_361   =   88.0 + -0.758333x  +      -0.000000x^2  +  0.000044x^3; Cubic Spline
10860.0 <= x < 10920.0; y_362   =   70.0 + -0.050000x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
10890.0 <= x < 10950.0; y_363   =   69.0 +  0.100000x  +       0.000000x^2  + -0.000037x^3; Cubic Spline
10920.0 <= x < 10980.0; y_364   =   68.0 +  0.583333x  +       0.000000x^2  + -0.000005x^3; Cubic Spline
10950.0 <= x < 11010.0; y_365   =   85.0 + -0.475000x  +       0.000000x^2  + -0.000007x^3; Cubic Spline
10980.0 <= x < 11040.0; y_366   =   70.0 +  0.725000x  +       0.000000x^2  + -0.000035x^3; Cubic Spline
11010.0 <= x < 11070.0; y_367   =   88.0 + -0.283333x  +       0.000000x^2  +  0.000051x^3; Cubic Spline
11040.0 <= x < 11100.0; y_368   =   85.0 + -0.766667x  +       0.000000x^2  +  0.000037x^3; Cubic Spline
11070.0 <= x < 11130.0; y_369   =   66.0 +  0.233333x  +       0.000000x^2  + -0.000037x^3; Cubic Spline
11100.0 <= x < 11160.0; y_370   =   69.0 +  0.541667x  +      -0.000000x^2  + -0.000030x^3; Cubic Spline
11130.0 <= x < 11190.0; y_371   =   82.0 +  0.025000x  +      -0.000000x^2  + -0.000007x^3; Cubic Spline
11160.0 <= x < 11220.0; y_372   =   82.0 +  0.141667x  +      -0.000000x^2  + -0.000012x^3; Cubic Spline
11190.0 <= x < 11250.0; y_373   =   85.0 + -0.083333x  +      -0.000000x^2  +  0.000042x^3; Cubic Spline
11220.0 <= x < 11280.0; y_374   =   87.0 + -0.658333x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
11250.0 <= x < 11310.0; y_375   =   67.0 +  0.708333x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
11280.0 <= x < 11340.0; y_376   =   88.0 + -0.825000x  +       0.000000x^2  +  0.000044x^3; Cubic Spline
11310.0 <= x < 11370.0; y_377   =   68.0 +  0.033333x  +      -0.000000x^2  +  0.000000x^3; Cubic Spline
11340.0 <= x < 11400.0; y_378   =   69.0 +  0.108333x  +       0.000000x^2  + -0.000039x^3; Cubic Spline
11370.0 <= x < 11430.0; y_379   =   68.0 +  0.758333x  +       0.000000x^2  + -0.000044x^3; Cubic Spline
11400.0 <= x < 11460.0; y_380   =   86.0 +  0.033333x  +      -0.000000x^2  +  0.000000x^3; Cubic Spline
11430.0 <= x < 11490.0; y_381   =   87.0 + -0.200000x  +      -0.000000x^2  +  0.000046x^3; Cubic Spline
11460.0 <= x < 11520.0; y_382   =   86.0 + -0.641667x  +       0.000000x^2  +  0.000002x^3; Cubic Spline
11490.0 <= x < 11550.0; y_383   =   67.0 +  0.783333x  +       0.000000x^2  + -0.000051x^3; Cubic Spline
11520.0 <= x < 11580.0; y_384   =   85.0 +  0.100000x  +      -0.000000x^2  +  0.000009x^3; Cubic Spline
11550.0 <= x < 11610.0; y_385   =   89.0 + -0.316667x  +       0.000000x^2  +  0.000014x^3; Cubic Spline
11580.0 <= x < 11640.0; y_386   =   81.0 +  0.108333x  +      -0.000000x^2  + -0.000012x^3; Cubic Spline
11610.0 <= x < 11670.0; y_387   =   83.0 +  0.133333x  +      -0.000000x^2  + -0.000009x^3; Cubic Spline
11640.0 <= x < 11700.0; y_388   =   86.0 +  0.041667x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
11670.0 <= x < 11730.0; y_389   =   87.0 + -0.091667x  +      -0.000000x^2  +  0.000025x^3; Cubic Spline
11700.0 <= x < 11760.0; y_390   =   87.0 + -0.483333x  +      -0.000000x^2  +  0.000032x^3; Cubic Spline
11730.0 <= x < 11790.0; y_391   =   76.0 + -0.000000x  +       0.000000x^2  + -0.000028x^3; Cubic Spline
11760.0 <= x < 11820.0; y_392   =   73.0 +  0.600000x  +      -0.000000x^2  + -0.000028x^3; Cubic Spline
11790.0 <= x < 11850.0; y_393   =   88.0 + -0.266667x  +       0.000000x^2  +  0.000046x^3; Cubic Spline
11820.0 <= x < 11880.0; y_394   =   85.0 + -0.683333x  +       0.000000x^2  +  0.000032x^3; Cubic Spline
11850.0 <= x < 11910.0; y_395   =   68.0 +  0.216667x  +       0.000000x^2  + -0.000032x^3; Cubic Spline
11880.0 <= x < 11940.0; y_396   =   71.0 +  0.375000x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
11910.0 <= x < 11970.0; y_397   =   82.0 + -0.450000x  +       0.000000x^2  +  0.000032x^3; Cubic Spline
11940.0 <= x < 12000.0; y_398   =   72.0 + -0.141667x  +       0.000000x^2  +  0.000002x^3; Cubic Spline
11970.0 <= x < 12030.0; y_399   =   68.0 +  0.258333x  +      -0.000000x^2  + -0.000044x^3; Cubic Spline
12000.0 <= x < 12060.0; y_400   =   71.0 +  0.633333x  +      -0.000000x^2  + -0.000028x^3; Cubic Spline
12030.0 <= x < 12090.0; y_401   =   87.0 + -0.175000x  +       0.000000x^2  +  0.000012x^3; Cubic Spline
12060.0 <= x < 12120.0; y_402   =   83.0 + -0.016667x  +       0.000000x^2  + -0.000005x^3; Cubic Spline
12090.0 <= x < 12150.0; y_403   =   82.0 +  0.000000x  +      -0.000000x^2  +  0.000028x^3; Cubic Spline
12120.0 <= x < 12180.0; y_404   =   85.0 + -0.608333x  +       0.000000x^2  +  0.000030x^3; Cubic Spline
12150.0 <= x < 12210.0; y_405   =   70.0 +  0.216667x  +       0.000000x^2  + -0.000042x^3; Cubic Spline
12180.0 <= x < 12240.0; y_406   =   72.0 +  0.525000x  +      -0.000000x^2  +  0.000002x^3; Cubic Spline
12210.0 <= x < 12270.0; y_407   =   88.0 + -0.566667x  +       0.000000x^2  +  0.000000x^3; Cubic Spline
12240.0 <= x < 12300.0; y_408   =   71.0 +  0.575000x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
12270.0 <= x < 12330.0; y_409   =   88.0 + -0.558333x  +       0.000000x^2  +  0.000007x^3; Cubic Spline
12300.0 <= x < 12360.0; y_410   =   72.0 +  0.425000x  +      -0.000000x^2  +  0.000002x^3; Cubic Spline
12330.0 <= x < 12390.0; y_411   =   85.0 + -0.441667x  +       0.000000x^2  + -0.000007x^3; Cubic Spline
12360.0 <= x < 12420.0; y_412   =   71.0 +  0.575000x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
12390.0 <= x < 12450.0; y_413   =   88.0 + -0.700000x  +       0.000000x^2  +  0.000046x^3; Cubic Spline
12420.0 <= x < 12480.0; y_414   =   72.0 +  0.016667x  +       0.000000x^2  + -0.000042x^3; Cubic Spline
12450.0 <= x < 12510.0; y_415   =   68.0 +  0.741667x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
12480.0 <= x < 12540.0; y_416   =   90.0 + -0.750000x  +      -0.000000x^2  +  0.000014x^3; Cubic Spline
12510.0 <= x < 12570.0; y_417   =   69.0 +  0.450000x  +       0.000000x^2  +  0.000014x^3; Cubic Spline
12540.0 <= x < 12600.0; y_418   =   84.0 + -0.791667x  +      -0.000000x^2  +  0.000025x^3; Cubic Spline
12570.0 <= x < 12630.0; y_419   =   63.0 +  0.541667x  +       0.000000x^2  + -0.000058x^3; Cubic Spline
12600.0 <= x < 12660.0; y_420   =   73.0 +  0.525000x  +      -0.000000x^2  + -0.000007x^3; Cubic Spline
12630.0 <= x < 12690.0; y_421   =   88.0 + -0.400000x  +       0.000000x^2  + -0.000000x^3; Cubic Spline
12660.0 <= x < 12720.0; y_422   =   76.0 +  0.466667x  +      -0.000000x^2  + -0.000019x^3; Cubic Spline
12690.0 <= x < 12750.0; y_423   =   88.0 + -0.183333x  +       0.000000x^2  +  0.000014x^3; Cubic Spline
12720.0 <= x < 12780.0; y_424   =   84.0 + -0.175000x  +       0.000000x^2  +  0.000030x^3; Cubic Spline
12750.0 <= x < 12810.0; y_425   =   82.0 + -0.533333x  +       0.000000x^2  +  0.000046x^3; Cubic Spline
12780.0 <= x < 12840.0; y_426   =   71.0 + -0.183333x  +       0.000000x^2  + -0.000032x^3; Cubic Spline
12810.0 <= x < 12870.0; y_427   =   62.0 +  0.925000x  +      -0.000000x^2  + -0.000044x^3; Cubic Spline
12840.0 <= x < 12900.0; y_428   =   85.0 + -0.108333x  +       0.000000x^2  + -0.000007x^3; Cubic Spline
12870.0 <= x < 12930.0; y_429   =   81.0 +  0.225000x  +       0.000000x^2  +  0.000002x^3; Cubic Spline
12900.0 <= x < 12960.0; y_430   =   88.0 + -0.300000x  +       0.000000x^2  +  0.000009x^3; Cubic Spline
12930.0 <= x < 12990.0; y_431   =   80.0 +  0.041667x  +      -0.000000x^2  +  0.000025x^3; Cubic Spline
12960.0 <= x < 13020.0; y_432   =   84.0 + -0.608333x  +       0.000000x^2  +  0.000030x^3; Cubic Spline
12990.0 <= x < 13050.0; y_433   =   69.0 +  0.050000x  +      -0.000000x^2  +  0.000005x^3; Cubic Spline
13020.0 <= x < 13080.0; y_434   =   71.0 + -0.108333x  +       0.000000x^2  + -0.000007x^3; Cubic Spline
13050.0 <= x < 13110.0; y_435   =   67.0 +  0.216667x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
13080.0 <= x < 13140.0; y_436   =   74.0 + -0.316667x  +       0.000000x^2  +  0.000005x^3; Cubic Spline
13110.0 <= x < 13170.0; y_437   =   65.0 +  0.425000x  +       0.000000x^2  + -0.000053x^3; Cubic Spline
13140.0 <= x < 13200.0; y_438   =   72.0 +  0.683333x  +      -0.000000x^2  + -0.000042x^3; Cubic Spline
13170.0 <= x < 13230.0; y_439   =   88.0 +  0.041667x  +      -0.000000x^2  +  0.000007x^3; Cubic Spline
13200.0 <= x < 13260.0; y_440   =   90.0 + -0.241667x  +      -0.000000x^2  +  0.000021x^3; Cubic Spline
13230.0 <= x < 13290.0; y_441   =   85.0 + -0.116667x  +       0.000000x^2  + -0.000005x^3; Cubic Spline
13260.0 <= x < 13320.0; y_442   =   81.0 +  0.116667x  +      -0.000000x^2  +  0.000023x^3; Cubic Spline
13290.0 <= x < 13350.0; y_443   =   87.0 + -0.683333x  +       0.000000x^2  +  0.000042x^3; Cubic Spline
13320.0 <= x < 13380.0; y_444   =   71.0 + -0.066667x  +       0.000000x^2  + -0.000000x^3; Cubic Spline
13350.0 <= x < 13410.0; y_445   =   69.0 +  0.075000x  +       0.000000x^2  + -0.000002x^3; Cubic Spline
13380.0 <= x < 13440.0; y_446   =   71.0 +  0.066667x  +       0.000000x^2  + -0.000028x^3; Cubic Spline
13410.0 <= x < 13470.0; y_447   =   70.0 +  0.433333x  +       0.000000x^2  +  0.000000x^3; Cubic Spline
13440.0 <= x < 13500.0; y_448   =   83.0 + -0.508333x  +      -0.000000x^2  +  0.000021x^3; Cubic Spline
13470.0 <= x < 13530.0; y_449   =   70.0 +  0.275000x  +       0.000000x^2  + -0.000039x^3; Cubic Spline
13500.0 <= x < 13560.0; y_450   =   74.0 +  0.500000x  +       0.000000x^2  + -0.000019x^3; Cubic Spline
13530.0 <= x < 13590.0; y_451   =   87.0 + -0.308333x  +      -0.000000x^2  +  0.000039x^3; Cubic Spline
13560.0 <= x < 13620.0; y_452   =   82.0 + -0.475000x  +       0.000000x^2  +  0.000021x^3; Cubic Spline
13590.0 <= x < 13650.0; y_453   =   70.0 +  0.083333x  +      -0.000000x^2  +  0.000005x^3; Cubic Spline
13620.0 <= x < 13680.0; y_454   =   73.0 + -0.083333x  +       0.000000x^2  + -0.000023x^3; Cubic Spline
